,src_id,station_na,station_fi,historic_c,station_la,station_lo,station_el,first_year,last_year,geometry,grid_id,grid_id_distance,Slope_resorted,Slope_sorted
176,1371,TEIGNMOUTH,teignmouth,devon,50.545,-3.495,3,1906,2020,POINT (-3.495 50.545),0,387718.81046058965,12.31,22.12
177,1382,HEMYOCK,hemyock,devon,50.909,-3.227,168,1978,2020,POINT (-3.227 50.909),10,351357.61750109016,8.98,13.25
178,1412,TREKNOW,treknow,cornwall,50.646,-4.755,100,1992,2020,POINT (-4.755 50.646),0,398823.7163928299,16.39,57.62
179,2515,BANK NEWTON NO 2,bank-newton-no-2,north-yorkshire,53.976,-2.134,128,2006,2020,POINT (-2.134 53.976),90,46085.43654478734,7.51,10.29
180,18985,LIVINGSTON MILL,livingston-mill,west-lothian-in-lothian-region,55.885,-3.546,108,1996,2020,POINT (-3.546 55.885),9,64147.43306981249,4.35,5.09
181,19193,CAWDOR CASTLE NO 2,cawdor-castle-no-2,nairnshire,57.525,-3.924,60,1997,2020,POINT (-3.924 57.525),9,231986.65675372147,2.97,4.15
182,3805,TETFORD,tetford,lincolnshire,53.253,-0.009,59,1999,2020,POINT (-0.009 53.253),90,238643.32967934184,8.95,10.68
183,61875,BEWCASTLE,bewcastle,cumbria,55.065,-2.715,133,2013,2020,POINT (-2.715 55.065),57,785.2158417785894,7.4,13.98
184,17183,HUNT HALL FARM,hunt-hall-farm,durham,54.67,-2.229,370,1995,2020,POINT (-2.229 54.67),83,3151.890854231363,6.79,13.16
185,62004,OYNE NO 2,oyne-no-2,aberdeenshire,57.32,-2.545,116,2015,2020,POINT (-2.545 57.32),59,207018.648004203,7.75,7.95
186,62015,"PORTPATRICK, CRAIGENLEE CROFT",portpatrick-craigenlee-croft,wigtownshire,54.863,-5.075,103,2015,2020,POINT (-5.075 54.863),6,155300.30649278522,6.98,6.76
187,62031,AMERSHAM FIELD CENTRE,amersham-field-centre,buckinghamshire,51.665,-0.657,150,2015,2020,POINT (-0.657 51.665),90,311448.25542620756,3.16,4.52
188,62039,BAINTOWN,baintown,fife,56.221,-3.043,123,2015,2020,POINT (-3.043 56.221),49,97275.35703878629,5.63,13.01
189,62076,"FORREST LODGE, BURNHEAD",forrest-lodge-burnhead,kirkcudbrightshire,55.144,-4.278,150,2016,2020,POINT (-4.278 55.144),6,76638.63377188495,7.04,17.54
190,4934,"LINGWOOD, STRUMPSHAW HILL",lingwood-strumpshaw-hill,norfolk,52.611,1.483,33,2009,2020,POINT (1.483 52.611),90,400470.6101875966,5.42,5.36
191,13298,BARWHILLANTY HOUSE,barwhillanty-house,kirkcudbrightshire,55.014,-3.997,125,1998,2020,POINT (-3.997 55.014),6,47039.22930226909,9.08,13.79
192,17310,"FETTERCAIRN, GLENSAUGH NO 2",fettercairn-glensaugh-no-2,kincardineshire,56.893,-2.542,171,1996,2020,POINT (-2.542 56.893),59,164497.14004535286,8.41,18.47
193,30084,BROADWINDSOR,broadwindsor,dorset,50.822,-2.79,161,2011,2020,POINT (-2.79 50.822),30,360841.89131286787,6.98,7.89
