ID,ID_TYPE,OB_DATE,VERSION_NUM,MET_DOMAIN_NAME ,OB_END_CTIME,OB_DAY_CNT,SRC_ID,REC_ST_IND,PRCP_AMT,OB_DAY_CNT_Q,PRCP_AMT_Q,METO_STMP_TIME,MIDAS_STMP_ETIME,PRCP_AMT_J
947811, RAIN, 1853-03-26 00:00, 1, DLY3208, 900, 1, 1530, 1001, 0, 0, 9, , ,
256225, RAIN, 1853-03-27 00:00, 1, DLY3208, 900, 1, 606, 1001, 0, 0, 9, , ,
947811, RAIN, 1853-03-27 00:00, 1, DLY3208, 900, 1, 1530, 1001, 0, 0, 9, , ,
256225, RAIN, 1853-03-28 00:00, 1, DLY3208, 900, 1, 606, 1001, 0, 0, 9, , ,
947811, RAIN, 1853-03-28 00:00, 1, DLY3208, 900, 1, 1530, 1001, .3, 0, 9, , ,
256225, RAIN, 1853-03-29 00:00, 1, DLY3208, 900, 1, 606, 1001, 1.4, 0, 9, , ,
947811, RAIN, 1853-03-29 00:00, 1, DLY3208, 900, 1, 1530, 1001, 0, 0, 9, , ,
256225, RAIN, 1853-03-30 00:00, 1, DLY3208, 900, 1, 606, 1001, 0, 0, 9, , ,
947811, RAIN, 1853-03-30 00:00, 1, DLY3208, 900, 1, 1530, 1001, 0, 0, 9, , ,
256225, RAIN, 1853-03-31 00:00, 1, DLY3208, 900, 1, 606, 1001, 0, 0, 9, , ,
947811, RAIN, 1853-03-31 00:00, 1, DLY3208, 900, 1, 1530, 1001, 0, 0, 9, , ,
256225, RAIN, 1853-04-01 00:00, 1, DLY3208, 900, 1, 606, 1001, 0, 0, 9, , ,
947811, RAIN, 1853-04-01 00:00, 1, DLY3208, 900, 1, 1530, 1001, 0, 0, 9, , ,
256225, RAIN, 1853-04-02 00:00, 1, DLY3208, 900, 1, 606, 1001, 7.2, 0, 9, , ,
947811, RAIN, 1853-04-02 00:00, 1, DLY3208, 900, 1, 1530, 1001, 12.7, 0, 9, , ,
256225, RAIN, 1853-04-03 00:00, 1, DLY3208, 900, 1, 606, 1001, 2.5, 0, 9, , ,
947811, RAIN, 1853-04-03 00:00, 1, DLY3208, 900, 1, 1530, 1001, 1, 0, 9, , ,
256225, RAIN, 1853-04-04 00:00, 1, DLY3208, 900, 1, 606, 1001, .2, 0, 9, , ,
947811, RAIN, 1853-04-04 00:00, 1, DLY3208, 900, 1, 1530, 1001, 0, 0, 9, , ,
256225, RAIN, 1853-04-05 00:00, 1, DLY3208, 900, 1, 606, 1001, 10.2, 0, 9, , ,
947811, RAIN, 1853-04-05 00:00, 1, DLY3208, 900, 1, 1530, 1001, .3, 0, 9, , ,
256225, RAIN, 1853-04-06 00:00, 1, DLY3208, 900, 1, 606, 1001, .7, 0, 9, , ,
947811, RAIN, 1853-04-06 00:00, 1, DLY3208, 900, 1, 1530, 1001, 1, 0, 9, , ,
256225, RAIN, 1853-04-07 00:00, 1, DLY3208, 900, 1, 606, 1001, 0, 0, 9, , ,
947811, RAIN, 1853-04-07 00:00, 1, DLY3208, 900, 1, 1530, 1001, .3, 0, 9, , ,
256225, RAIN, 1853-04-08 00:00, 1, DLY3208, 900, 1, 606, 1001, 0, 0, 9, , ,
947811, RAIN, 1853-04-08 00:00, 1, DLY3208, 900, 1, 1530, 1001, 1.3, 0, 9, , ,
256225, RAIN, 1853-04-09 00:00, 1, DLY3208, 900, 1, 606, 1001, 0, 0, 9, , ,
947811, RAIN, 1853-04-09 00:00, 1, DLY3208, 900, 1, 1530, 1001, 1.3, 0, 9, , ,
256225, RAIN, 1853-04-10 00:00, 1, DLY3208, 900, 1, 606, 1001, .5, 0, 9, , ,
947811, RAIN, 1853-04-10 00:00, 1, DLY3208, 900, 1, 1530, 1001, 0, 0, 9, , ,
256225, RAIN, 1853-04-11 00:00, 1, DLY3208, 900, 1, 606, 1001, 0, 0, 9, , ,
947811, RAIN, 1853-04-11 00:00, 1, DLY3208, 900, 1, 1530, 1001, 1.3, 0, 9, , ,
256225, RAIN, 1853-04-12 00:00, 1, DLY3208, 900, 1, 606, 1001, 0, 0, 9, , ,
947811, RAIN, 1853-04-12 00:00, 1, DLY3208, 900, 1, 1530, 1001, 0, 0, 9, , ,
256225, RAIN, 1853-04-13 00:00, 1, DLY3208, 900, 1, 606, 1001, 0, 0, 9, , ,
947811, RAIN, 1853-04-13 00:00, 1, DLY3208, 900, 1, 1530, 1001, .3, 0, 9, , ,
256225, RAIN, 1853-04-14 00:00, 1, DLY3208, 900, 1, 606, 1001, .7, 0, 9, , ,
947811, RAIN, 1853-04-14 00:00, 1, DLY3208, 900, 1, 1530, 1001, 0, 0, 9, , ,
256225, RAIN, 1853-04-15 00:00, 1, DLY3208, 900, 1, 606, 1001, .8, 0, 9, , ,
947811, RAIN, 1853-04-15 00:00, 1, DLY3208, 900, 1, 1530, 1001, 0, 0, 9, , ,
256225, RAIN, 1853-04-16 00:00, 1, DLY3208, 900, 1, 606, 1001, 1.2, 0, 9, , ,
947811, RAIN, 1853-04-16 00:00, 1, DLY3208, 900, 1, 1530, 1001, 0, 0, 9, , ,
256225, RAIN, 1853-04-17 00:00, 1, DLY3208, 900, 1, 606, 1001, 0, 0, 9, , ,
947811, RAIN, 1853-04-17 00:00, 1, DLY3208, 900, 1, 1530, 1001, 0, 0, 9, , ,
256225, RAIN, 1853-04-18 00:00, 1, DLY3208, 900, 1, 606, 1001, 0, 0, 9, , ,
947811, RAIN, 1853-04-18 00:00, 1, DLY3208, 900, 1, 1530, 1001, .5, 0, 9, , ,
256225, RAIN, 1853-04-19 00:00, 1, DLY3208, 900, 1, 606, 1001, 0, 0, 9, , ,
947811, RAIN, 1853-04-19 00:00, 1, DLY3208, 900, 1, 1530, 1001, 0, 0, 9, , ,
256225, RAIN, 1853-04-20 00:00, 1, DLY3208, 900, 1, 606, 1001, 0, 0, 9, , ,
947811, RAIN, 1853-04-20 00:00, 1, DLY3208, 900, 1, 1530, 1001, 0, 0, 9, , ,
256225, RAIN, 1853-04-21 00:00, 1, DLY3208, 900, 1, 606, 1001, 1.9, 0, 9, , ,
947811, RAIN, 1853-04-21 00:00, 1, DLY3208, 900, 1, 1530, 1001, 0, 0, 9, , ,
256225, RAIN, 1853-04-22 00:00, 1, DLY3208, 900, 1, 606, 1001, 6.9, 0, 9, , ,
947811, RAIN, 1853-04-22 00:00, 1, DLY3208, 900, 1, 1530, 1001, 4.3, 0, 9, , ,
256225, RAIN, 1853-04-23 00:00, 1, DLY3208, 900, 1, 606, 1001, 6.3, 0, 9, , ,
947811, RAIN, 1853-04-23 00:00, 1, DLY3208, 900, 1, 1530, 1001, 1.3, 0, 9, , ,
256225, RAIN, 1853-04-24 00:00, 1, DLY3208, 900, 1, 606, 1001, 5.7, 0, 9, , ,
947811, RAIN, 1853-04-24 00:00, 1, DLY3208, 900, 1, 1530, 1001, .5, 0, 9, , ,
256225, RAIN, 1853-04-25 00:00, 1, DLY3208, 900, 1, 606, 1001, 0, 0, 9, , ,
947811, RAIN, 1853-04-25 00:00, 1, DLY3208, 900, 1, 1530, 1001, .3, 0, 9, , ,
256225, RAIN, 1853-04-26 00:00, 1, DLY3208, 900, 1, 606, 1001, 3.3, 0, 9, , ,
947811, RAIN, 1853-04-26 00:00, 1, DLY3208, 900, 1, 1530, 1001, 1.5, 0, 9, , ,
256225, RAIN, 1853-04-27 00:00, 1, DLY3208, 900, 1, 606, 1001, 2, 0, 9, , ,
947811, RAIN, 1853-04-27 00:00, 1, DLY3208, 900, 1, 1530, 1001, 11.4, 0, 9, , ,
256225, RAIN, 1853-04-28 00:00, 1, DLY3208, 900, 1, 606, 1001, 0, 0, 9, , ,
947811, RAIN, 1853-04-28 00:00, 1, DLY3208, 900, 1, 1530, 1001, .3, 0, 9, , ,
256225, RAIN, 1853-04-29 00:00, 1, DLY3208, 900, 1, 606, 1001, 0, 0, 9, , ,
947811, RAIN, 1853-04-29 00:00, 1, DLY3208, 900, 1, 1530, 1001, 4.1, 0, 9, , ,
